Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.171974	3.820077	5.684000	10.160000	
0.100000	3.596210	3.523392	13.436000	16.860000	
0.100000	3.165953	2.992558	21.088000	25.340000	
0.100000	2.741542	2.729744	29.344000	30.840000	
0.100000	2.387959	2.554955	36.474000	36.820000	
0.100000	2.104171	2.173222	42.890000	42.490000	
0.100000	1.892482	1.907873	47.690000	47.590000	
0.100000	1.722864	1.808026	51.986000	50.660000	
0.100000	1.591055	1.825890	55.156000	51.040000	
0.100000	1.476980	1.792774	57.924000	50.900000	
0.100000	1.390195	1.792897	59.904000	51.280000	
0.100000	1.305065	1.660231	62.162000	54.440000	
0.100000	1.237927	1.663850	63.834000	55.410000	
0.100000	1.178883	1.573027	65.594000	57.240000	
0.100000	1.127104	1.527862	66.630000	58.150000	
0.100000	1.080531	1.593699	68.126000	57.300000	
0.100000	1.029140	1.539614	69.440000	58.400000	
0.100000	0.993081	1.447153	70.252000	60.520000	
0.100000	0.965725	1.533503	71.108000	59.470000	
0.100000	0.925137	1.548590	72.120000	59.690000	
0.100000	0.901516	1.412456	72.742000	61.780000	
0.100000	0.877614	1.446810	73.252000	61.160000	
0.100000	0.854246	1.438012	74.134000	62.090000	
0.100000	0.830910	1.511494	74.690000	61.510000	
0.100000	0.819896	1.328281	74.976000	63.770000	
0.100000	0.793201	1.395316	75.612000	62.190000	
0.100000	0.774123	1.363449	76.228000	62.970000	
0.100000	0.761737	1.602715	76.582000	58.850000	
0.100000	0.745472	1.529858	77.082000	61.750000	
0.100000	0.724345	1.400792	77.560000	63.400000	
0.100000	0.714612	1.478126	77.776000	62.410000	
0.100000	0.689737	1.412985	78.736000	63.210000	
0.100000	0.685427	1.343396	78.702000	64.430000	
0.100000	0.671847	1.400270	79.198000	64.200000	
0.100000	0.667656	1.427708	79.060000	62.990000	
0.100000	0.660773	1.400014	79.500000	64.020000	
0.100000	0.628257	1.344807	80.146000	64.370000	
0.100000	0.637927	1.444105	80.084000	63.770000	
0.100000	0.632273	1.605437	80.122000	61.460000	
0.100000	0.609651	1.404236	80.824000	63.890000	
0.100000	0.606375	1.429935	81.074000	63.730000	
0.100000	0.596924	1.338973	81.420000	65.350000	
0.100000	0.588669	1.346467	81.492000	65.300000	
0.100000	0.574866	1.306246	82.056000	66.620000	
0.100000	0.569319	1.448610	81.926000	63.790000	
0.100000	0.567085	1.365587	82.044000	64.940000	
0.100000	0.549254	1.514277	82.732000	63.630000	
0.100000	0.552265	1.376979	82.544000	65.700000	
0.100000	0.538889	1.436690	83.168000	64.180000	
0.100000	0.542550	1.286417	82.836000	66.930000	
0.100000	0.536284	1.441277	83.162000	64.100000	
0.100000	0.532843	1.359431	83.150000	66.040000	
0.100000	0.518436	1.456453	83.536000	64.090000	
0.100000	0.519098	1.456643	83.574000	63.470000	
0.100000	0.512527	1.528582	83.722000	63.360000	
0.100000	0.509593	1.446729	83.838000	64.730000	
0.100000	0.499990	1.479914	84.052000	63.400000	
0.100000	0.496096	1.353244	84.180000	65.570000	
0.100000	0.484796	1.366396	84.592000	65.720000	
0.100000	0.487916	1.392884	84.482000	66.030000	
0.100000	0.487414	1.486292	84.596000	63.770000	
0.100000	0.478472	1.618713	84.734000	61.340000	
0.100000	0.472449	1.438686	85.112000	65.330000	
0.100000	0.469448	1.416760	85.052000	65.800000	
0.100000	0.458477	1.560229	85.362000	63.650000	
0.100000	0.462233	1.404122	85.258000	66.190000	
0.100000	0.447592	1.438756	85.776000	65.830000	
0.100000	0.456615	1.443002	85.356000	64.490000	
0.100000	0.447867	1.331812	85.720000	66.620000	
0.100000	0.453793	1.425021	85.610000	65.980000	
0.100000	0.445559	1.728162	85.664000	61.790000	
0.100000	0.438592	1.343455	85.930000	66.970000	
0.100000	0.445015	1.452715	85.732000	65.120000	
0.100000	0.440495	1.377299	86.102000	66.160000	
0.100000	0.420879	1.420696	86.488000	65.070000	
0.100000	0.438095	1.367646	86.016000	66.690000	
0.100000	0.421704	1.561337	86.584000	63.730000	
0.100000	0.417035	1.517857	86.618000	64.600000	
0.100000	0.422805	1.311102	86.546000	67.270000	
0.100000	0.419020	1.593998	86.558000	62.430000	
0.100000	0.422019	1.454899	86.368000	65.910000	
0.010000	0.190053	0.930338	94.658000	75.770000	
0.010000	0.117650	0.932223	97.062000	76.330000	
0.010000	0.094324	0.934881	97.756000	76.590000	
0.010000	0.080840	0.943725	98.200000	76.890000	
0.010000	0.069996	0.952410	98.518000	76.770000	
0.010000	0.062949	0.962446	98.692000	76.860000	
0.010000	0.056577	0.968794	98.920000	76.820000	
0.010000	0.052407	0.976285	98.958000	76.860000	
0.010000	0.046365	0.977607	99.186000	76.900000	
0.010000	0.043663	0.992241	99.230000	76.820000	
0.010000	0.040643	0.997424	99.322000	76.930000	
0.010000	0.038768	1.005850	99.346000	76.880000	
0.010000	0.036067	1.004818	99.418000	76.980000	
0.010000	0.033820	1.011076	99.492000	76.790000	
0.010000	0.033102	1.017551	99.458000	77.030000	
0.010000	0.030472	1.025414	99.540000	76.680000	
0.010000	0.029010	1.024455	99.534000	76.670000	
0.010000	0.027709	1.034939	99.612000	76.790000	
0.010000	0.026458	1.035759	99.658000	76.790000	
0.010000	0.024426	1.041081	99.670000	76.630000	
0.010000	0.024423	1.046076	99.694000	77.080000	
0.010000	0.024434	1.043039	99.678000	77.030000	
0.010000	0.022153	1.047835	99.732000	76.880000	
0.010000	0.021210	1.049420	99.756000	77.100000	
0.010000	0.021266	1.045082	99.752000	76.990000	
0.010000	0.020369	1.053854	99.786000	77.090000	
0.010000	0.018988	1.053753	99.794000	76.880000	
0.010000	0.018675	1.064023	99.806000	76.930000	
0.010000	0.017709	1.063059	99.816000	77.010000	
0.010000	0.017482	1.062760	99.834000	76.990000	
0.010000	0.017801	1.063744	99.814000	76.830000	
0.010000	0.017350	1.067187	99.812000	76.890000	
0.010000	0.016308	1.069641	99.816000	77.150000	
0.010000	0.015761	1.070351	99.858000	77.200000	
0.010000	0.015306	1.070231	99.844000	77.110000	
0.010000	0.015300	1.077118	99.830000	77.050000	
0.010000	0.014783	1.074098	99.854000	77.150000	
0.010000	0.014468	1.079362	99.870000	77.060000	
0.010000	0.014488	1.077687	99.884000	76.890000	
0.010000	0.013623	1.083466	99.866000	76.890000	
0.010000	0.013148	1.082220	99.898000	77.000000	
0.001000	0.012036	1.084262	99.908000	77.110000	
0.001000	0.012141	1.073897	99.908000	77.070000	
0.001000	0.012355	1.075960	99.912000	77.010000	
0.001000	0.012042	1.073619	99.918000	77.200000	
0.001000	0.011683	1.075199	99.924000	76.880000	
0.001000	0.011870	1.078965	99.896000	77.100000	
0.001000	0.011883	1.072369	99.908000	77.010000	
0.001000	0.011852	1.076280	99.916000	77.180000	
0.001000	0.011550	1.077094	99.922000	77.160000	
0.001000	0.011587	1.075638	99.918000	77.020000	
0.001000	0.011318	1.075621	99.928000	77.050000	
0.001000	0.011149	1.075458	99.930000	76.990000	
0.001000	0.011281	1.074366	99.912000	77.150000	
0.001000	0.011037	1.075423	99.928000	77.010000	
0.001000	0.011474	1.075117	99.918000	77.120000	
0.001000	0.011263	1.077185	99.924000	77.180000	
0.001000	0.011233	1.076498	99.922000	77.130000	
0.001000	0.011414	1.078201	99.906000	77.140000	
0.001000	0.011066	1.077108	99.916000	77.080000	
0.001000	0.011219	1.074371	99.912000	77.040000	
0.001000	0.010951	1.077613	99.924000	76.940000	
0.001000	0.010721	1.075773	99.928000	77.090000	
0.001000	0.010713	1.076215	99.948000	77.230000	
0.001000	0.010794	1.074417	99.926000	77.130000	
0.001000	0.010684	1.072769	99.930000	77.180000	
0.001000	0.010925	1.074650	99.922000	76.970000	
0.001000	0.010940	1.078157	99.906000	76.940000	
0.001000	0.010774	1.081486	99.940000	77.150000	
0.001000	0.011163	1.078129	99.910000	76.930000	
0.001000	0.010373	1.075216	99.936000	77.090000	
0.001000	0.010803	1.077387	99.932000	76.890000	
0.001000	0.010552	1.072910	99.952000	77.050000	
0.001000	0.010679	1.075220	99.932000	77.080000	
0.001000	0.010623	1.076243	99.934000	77.230000	
0.001000	0.010484	1.074207	99.936000	77.110000	
0.001000	0.010329	1.076310	99.944000	77.140000	
0.001000	0.010631	1.076220	99.942000	77.160000	
0.001000	0.010772	1.076620	99.924000	77.160000	
0.001000	0.010459	1.075542	99.936000	77.250000	
0.001000	0.010361	1.078328	99.922000	77.140000	
0.001000	0.010601	1.078584	99.912000	77.010000	
0.001000	0.010440	1.074100	99.934000	77.230000	
