Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.165738	3.825630	5.990000	10.050000	
0.100000	3.575006	3.463343	13.970000	18.100000	
0.100000	3.125407	28.691474	21.902000	24.450000	
0.100000	2.716531	30.744590	29.788000	29.840000	
0.100000	2.363542	84.708535	36.936000	38.050000	
0.100000	2.101250	3.441610	42.622000	40.350000	
0.100000	1.897661	5.924126	47.328000	44.690000	
0.100000	1.742576	2.094034	50.984000	46.220000	
0.100000	1.616488	1.883292	54.186000	48.640000	
0.100000	1.516320	1.952347	56.978000	50.860000	
0.100000	1.429650	1.688608	59.076000	53.960000	
0.100000	1.346757	1.630591	60.904000	55.240000	
0.100000	1.279497	1.596844	62.814000	56.350000	
0.100000	1.222725	1.610350	64.360000	56.300000	
0.100000	1.170328	1.635604	65.616000	55.950000	
0.100000	1.112589	1.571647	67.112000	57.350000	
0.100000	1.082584	1.484117	68.030000	59.260000	
0.100000	1.040780	1.628329	69.134000	57.240000	
0.100000	1.016215	1.463572	69.836000	60.550000	
0.100000	0.988339	1.491373	70.568000	58.920000	
0.100000	0.962515	1.477399	71.068000	60.590000	
0.100000	0.930823	1.677299	72.046000	56.960000	
0.100000	0.913112	1.487346	72.426000	61.180000	
0.100000	0.883079	1.419130	73.474000	61.870000	
0.100000	0.863899	1.642272	73.822000	58.020000	
0.100000	0.841289	1.562582	74.472000	60.030000	
0.100000	0.828817	1.510605	74.602000	61.380000	
0.100000	0.813717	1.467535	75.236000	61.190000	
0.100000	0.799660	1.445077	75.516000	61.790000	
0.100000	0.782398	1.386790	75.818000	62.490000	
0.100000	0.767177	1.468149	76.212000	61.690000	
0.100000	0.753459	1.466071	76.762000	62.790000	
0.100000	0.741875	1.421887	77.254000	62.490000	
0.100000	0.727915	1.501735	77.578000	61.520000	
0.100000	0.724987	1.371727	77.386000	63.820000	
0.100000	0.688790	1.416136	78.764000	63.150000	
0.100000	0.693137	1.405342	78.582000	63.430000	
0.100000	0.680840	1.532291	78.774000	60.850000	
