Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	0.070681	1.058161	98.458000	75.360000	
0.010000	0.069124	1.067584	98.578000	74.930000	
0.010000	0.068256	1.073130	98.584000	74.920000	
0.010000	0.065641	1.073622	98.724000	75.110000	
0.010000	0.063932	1.088352	98.676000	74.970000	
0.010000	0.062279	1.082049	98.722000	74.970000	
0.010000	0.061348	1.085068	98.740000	75.180000	
0.010000	0.059044	1.097869	98.910000	75.150000	
0.010000	0.057026	1.096122	98.862000	75.170000	
0.010000	0.055170	1.097838	98.976000	74.740000	
0.010000	0.054309	1.096173	98.972000	75.310000	
0.010000	0.053461	1.107415	98.992000	75.030000	
0.010000	0.052276	1.101612	99.022000	75.190000	
0.010000	0.052308	1.106999	98.974000	74.780000	
0.010000	0.050942	1.123550	99.062000	75.000000	
0.010000	0.050107	1.118308	99.142000	75.010000	
0.001000	0.043704	1.111217	99.282000	75.140000	
0.001000	0.039938	1.106021	99.402000	75.150000	
0.001000	0.039205	1.110013	99.484000	75.080000	
0.001000	0.038379	1.105005	99.494000	75.150000	
0.001000	0.037266	1.112016	99.516000	75.150000	
0.001000	0.037670	1.108730	99.488000	75.330000	
0.001000	0.037218	1.103685	99.534000	75.350000	
0.001000	0.037920	1.104950	99.506000	75.200000	
0.001000	0.036610	1.109338	99.518000	75.030000	
0.001000	0.037612	1.106621	99.502000	75.180000	
0.001000	0.036718	1.107213	99.530000	75.330000	
0.001000	0.035945	1.106730	99.560000	75.080000	
0.001000	0.036798	1.109661	99.510000	75.280000	
0.001000	0.036082	1.110493	99.550000	75.250000	
0.001000	0.035337	1.111584	99.576000	75.320000	
0.001000	0.035467	1.112132	99.536000	75.260000	
0.001000	0.035298	1.115404	99.594000	75.120000	
0.001000	0.034899	1.108689	99.596000	75.060000	
0.001000	0.034990	1.113196	99.556000	75.060000	
0.001000	0.034472	1.114599	99.572000	75.150000	
0.001000	0.034742	1.115308	99.594000	75.320000	
0.001000	0.035066	1.110632	99.548000	75.140000	
0.001000	0.035249	1.115377	99.578000	75.070000	
0.001000	0.034738	1.119827	99.542000	75.280000	
0.001000	0.034627	1.115115	99.594000	75.310000	
0.001000	0.033365	1.113017	99.604000	75.390000	
